"=","OP_EQ"
">=","OP_GE"
"*","OP_MUL"
"<>","OP_NE"
"<=","OP_LE"
"/","OP_DIV"
">","OP_GT"
"+","OP_AD"
"=","OP_ASS"
"<","OP_LT"
"-","OP_MIN"
"{","SMB_OBC"
",","SMB_COM"
"}","SMB_CBC"
";","SMB_SEM"
"(","SMB_OPA"
")","SMB_CPA"
"program","KEY_PROGRAM"
"var","KEY_VAR"
"integer","KEY_INTEGER"
"real","KEY_REAL"
"begin","KEY_BEGIN"
"end","KEY_END"
"if","KEY_IF"
"then","KEY_THEN"
"else","KEY_ELSE"
"while","KEY_WHILE"
"do","KEY_DO"
